Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV27576,FS27532,Katta/,AF,12/30/1899 14:38:00,0,0,0,0,0,,,12/30/1899 14:58:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27533,Kong/,AM,12/30/1899 15:09:00,0,0,0,0,0,,,12/30/1899 15:29:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27534,Katta/,AF,12/30/1899 15:37:00,0,0,0,0,0,,,12/30/1899 15:57:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27535,Katta/,AF,12/30/1899 12:57:00,0,0,0,0,0,,,12/30/1899 13:17:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27536,Katta/,AF,12/30/1899 16:19:02,0,0,0,0,0,,,12/30/1899 16:39:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27537,Kahlo/,INF12,12/30/1899 17:02:00,0,0,0,0,0,,,12/30/1899 17:22:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27538,Luciferus/,AM,12/30/1899 10:01:00,0,0,0,0,0,,,12/30/1899 10:21:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27539,Lulu/,AF,12/30/1899 11:01:00,0,0,0,0,0,,,12/30/1899 11:21:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27540,INF14B/,INF14,12/30/1899 10:37:00,0,0,0,0,0,,,12/30/1899 21:29:32,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27541,INF14B/,INF14,12/30/1899 12:19:00,0,0,0,0,0,,,12/30/1899 12:39:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27542,INF14A/,INF14,12/30/1899 12:59:00,0,0,0,0,0,,,12/30/1899 13:19:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27543,INF14A/,INF14,12/30/1899 14:01:00,0,0,0,0,0,,,12/30/1899 14:11:00,,0,5/5/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27582,FS27544,Luciferus/,AM,12/30/1899 13:27:00,0,0,0,0,0,,,12/30/1899 13:47:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27545,Lulu/,AF,12/30/1899 14:32:00,0,0,0,0,0,,,12/30/1899 14:52:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27546,INF14A/,INF14,12/30/1899 15:04:00,0,0,0,0,0,,,12/30/1899 15:24:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27582,FS27547,INF14B/,INF14,12/30/1899 15:28:00,0,0,0,0,0,,,12/30/1899 15:48:00,,0,5/5/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27584,FS27548,Bongo/,AM,12/30/1899 7:04:00,0,0,0,0,0,,,12/30/1899 7:12:00,,0,5/6/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27584,FS27549,INF15/,INF15,12/30/1899 8:36:00,0,0,0,0,0,,,12/30/1899 8:42:00,,0,5/6/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27596,FS27550,Luciferus/,AM,12/30/1899 9:36:00,0,0,0,0,0,Whole focal eating palm flower in CD-15-041.,,12/30/1899 9:56:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27551,INF14A/,INF14,12/30/1899 9:59:00,0,0,0,0,0,,,12/30/1899 10:19:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
